Date,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
09-Feb-21,EQ,978.6,999.8,967.25,982.55,975.95,975.1,985.09,"1,081.55",471.4,"30,86,774","3,04,07,39,956.50","85,972"
08-Feb-21,EQ,969.8,993,960.55,959.4,984,982.55,979.64,"1,081.55",471.4,"37,13,579","3,63,79,81,430.95","1,02,104"
05-Feb-21,EQ,972.35,980.85,950.05,969.2,960,959.4,962.01,"1,081.55",471.4,"30,77,720","2,96,08,03,877.80","66,606"
04-Feb-21,EQ,987.95,988,964.3,981.45,968.6,969.2,970.87,"1,081.55",471.4,"42,32,910","4,10,95,94,826.30","1,12,818"
03-Feb-21,EQ,965,"1,000.00",960.1,957.2,983.9,981.45,984.43,"1,081.55",471.4,"56,40,121","5,55,23,15,235.15","1,23,433"
02-Feb-21,EQ,955,972.9,937.5,941.75,957,957.2,952.03,"1,081.55",471.4,"49,71,530","4,73,30,35,432.85","1,51,720"
01-Feb-21,EQ,961.9,961.9,921.15,961.4,947.95,941.75,938.77,"1,081.55",471.4,"63,21,189","5,93,41,23,442.80","2,05,929"
29-Jan-21,EQ,990.1,995.9,956,981.6,961.05,961.4,974.13,"1,081.55",471.4,"44,25,911","4,31,14,11,799.45","1,00,507"
28-Jan-21,EQ,990,990,965,997.1,982,981.6,974.94,"1,081.55",471.4,"42,74,190","4,16,70,99,444.90","1,07,154"
27-Jan-21,EQ,978,"1,004.90",973.65,972.05,997.55,997.1,991.82,"1,081.55",471.4,"69,75,618","6,91,85,84,885.80","1,23,094"
25-Jan-21,EQ,985.85,997.9,962.2,980.85,977,972.05,980.72,"1,081.55",471.4,"27,51,784","2,69,87,19,126.80","69,731"
22-Jan-21,EQ,"1,004.70","1,005.00",975,"1,004.70",982,980.85,985.26,"1,081.55",471.4,"39,22,421","3,86,45,89,494.05","1,21,187"
21-Jan-21,EQ,"1,026.00","1,033.35",994.5,"1,019.45","1,008.00","1,004.70","1,013.27","1,081.55",471.4,"39,11,527","3,96,34,42,465.30","1,05,731"
20-Jan-21,EQ,997,"1,023.40",997,992.5,"1,019.45","1,019.45","1,016.24","1,081.55",471.4,"46,87,853","4,76,39,83,175.15","93,591"
19-Jan-21,EQ,"1,006.60","1,008.45",987.2,998.25,995.5,992.5,995.88,"1,081.55",471.4,"44,16,027","4,39,78,39,370.45","1,10,734"
18-Jan-21,EQ,998,"1,013.80",991.95,"1,007.30",994.15,998.25,"1,002.63","1,081.55",471.4,"46,59,705","4,67,19,67,456.60","1,36,456"
15-Jan-21,EQ,"1,049.50","1,062.80","1,002.65","1,052.60","1,011.00","1,007.30","1,022.59","1,081.55",471.4,"60,63,896","6,20,08,81,972.45","1,39,371"
14-Jan-21,EQ,"1,064.00","1,064.00","1,030.00","1,069.65","1,054.95","1,052.60","1,049.54","1,081.55",471.4,"47,65,344","5,00,14,06,054.40","1,39,984"
13-Jan-21,EQ,"1,074.00","1,078.75","1,050.05","1,064.20","1,065.40","1,069.65","1,066.41","1,081.55",471.4,"46,71,772","4,98,20,36,276.85","1,22,820"
12-Jan-21,EQ,"1,077.60","1,077.65","1,053.00","1,077.60","1,063.00","1,064.20","1,063.87","1,081.55",471.4,"42,57,926","4,52,98,92,909.05","1,12,238"
